# t 	 Sigma_L 	 Sigma_R 	 ILR 
1.826	1.2800000000000007	2.000000000000001	-0.006847206586782232
1.827	1.2800000000000007	2.000000000000001	-0.006983787285989598
1.828	1.2800000000000007	2.000000000000001	-0.007117978421181614
1.829	1.2800000000000007	2.000000000000001	-0.00724977999235836
1.83	1.2800000000000007	2.000000000000001	-0.0073791919995198525
1.831	1.2800000000000007	2.000000000000001	-0.007506214442665995
1.832	1.2800000000000007	2.020000000000001	0.013383708645984756
1.833	1.2800000000000007	2.020000000000001	0.01323011863437594
1.834	1.2800000000000007	2.020000000000001	0.0130785951699042
1.835	1.2800000000000007	2.020000000000001	0.012929138252569718
1.836	1.2800000000000007	2.020000000000001	0.012781747882372334
1.837	1.2800000000000007	2.020000000000001	0.012636424059312184
1.838	1.2800000000000007	2.020000000000001	0.012493166783388975
1.839	1.2800000000000007	2.020000000000001	0.01235197605460309
1.84	1.2800000000000007	2.020000000000001	0.012212851872954261
1.841	1.2800000000000007	2.020000000000001	0.01207579423844261
1.842	1.2800000000000007	2.020000000000001	0.011940803151068099
1.843	1.2800000000000007	2.020000000000001	0.011807878610830689
1.844	1.2800000000000007	2.020000000000001	0.01167702061773046
1.845	1.2800000000000007	2.020000000000001	0.011548229171767382
1.846	1.2800000000000007	2.020000000000001	0.011421504272941467
1.847	1.2800000000000007	2.020000000000001	0.011296845921252643
1.848	1.2800000000000007	2.020000000000001	0.011174254116700946
1.849	1.2800000000000007	2.020000000000001	0.011053728859286509
1.85	1.2800000000000007	2.040000000000001	0.024481009373657898
1.851	1.2800000000000007	2.040000000000001	0.02432561441384789
1.852	1.2800000000000007	2.040000000000001	0.024172609018053275
1.853	1.2800000000000007	2.040000000000001	0.024021993186273797
1.854	1.2800000000000007	2.040000000000001	0.0238737669185098
1.855	1.2800000000000007	2.040000000000001	0.023727930214760846
1.856	1.2800000000000007	2.040000000000001	0.02358448307502741
1.857	1.2800000000000007	2.040000000000001	0.023443425499309032
1.858	1.2800000000000007	2.040000000000001	0.023304757487606163
1.859	1.2800000000000007	2.040000000000001	0.023168479039918394
1.86	1.2800000000000007	2.040000000000001	0.023034590156246027
1.861	1.2800000000000007	2.040000000000001	0.02290309083658893
1.862	1.2800000000000007	2.040000000000001	0.022773981080946953
1.863	1.2800000000000007	2.040000000000001	0.022647260889320463
1.864	1.2800000000000007	2.040000000000001	0.022522930261709158
1.865	1.2800000000000007	2.040000000000001	0.022400989198113234
1.866	1.2800000000000007	2.040000000000001	0.02228143769853244
1.867	1.2800000000000007	2.040000000000001	0.02216427576296714
1.868	1.2800000000000007	2.040000000000001	0.022049503391416914
1.869	1.2800000000000007	2.040000000000001	0.021937120583882187
1.87	1.2800000000000007	2.040000000000001	0.02182712734036266
1.871	1.2800000000000007	2.040000000000001	0.02171952366085831
1.872	1.3000000000000007	2.040000000000001	0.022837032079347588
1.873	1.3000000000000007	2.040000000000001	0.0228699129660673
1.874	1.3000000000000007	2.040000000000001	0.022904860399924197
1.875	1.3000000000000007	2.040000000000001	0.022941874380918235
1.8760000000000001	1.3000000000000007	2.040000000000001	0.022980954909049413
1.877	1.3000000000000007	2.040000000000001	0.023022101984317724
1.8780000000000001	1.3000000000000007	2.040000000000001	0.023065315606723036
1.879	1.3200000000000007	2.040000000000001	0.0006104238650727657
1.8800000000000001	1.3200000000000007	2.040000000000001	0.0005860265635603823
1.881	1.3200000000000007	2.040000000000001	0.0005633727923069209
1.8820000000000001	1.3200000000000007	2.040000000000001	0.0005424625513124164
1.883	1.3200000000000007	2.040000000000001	0.0005232958405769206
1.8840000000000001	1.3200000000000007	2.040000000000001	0.0005058726601005759
1.885	1.3200000000000007	2.040000000000001	0.0004901930098830561
1.8860000000000001	1.3200000000000007	2.040000000000001	0.00047625688992466303
1.887	1.3200000000000007	2.040000000000001	0.00046406430022522677
1.8880000000000001	1.3200000000000007	2.040000000000001	0.0004536152407847542
1.889	1.3200000000000007	2.040000000000001	0.0004449097116032731
1.8900000000000001	1.3200000000000007	2.040000000000001	0.00043794771268094307
1.891	1.3200000000000007	2.040000000000001	0.0004327292440173755
1.8920000000000001	1.3200000000000007	2.040000000000001	0.00042925430561294164
1.893	1.3200000000000007	2.040000000000001	0.00042752289746761027
1.8940000000000001	1.3200000000000007	2.040000000000001	0.0004275350195811316
1.895	1.3200000000000007	2.040000000000001	0.00042929067195379353
1.8960000000000001	1.3200000000000007	2.040000000000001	0.0004327898545852839
1.897	1.3200000000000007	2.040000000000001	0.0004380325674758663
1.8980000000000001	1.3200000000000007	2.040000000000001	0.0004450188106255096
1.899	1.3200000000000007	2.040000000000001	0.00045374858403415125
1.9000000000000001	1.3200000000000007	2.040000000000001	0.0004642218877016595
1.901	1.3200000000000007	2.040000000000001	0.00047643872162823203
1.9020000000000001	1.3200000000000007	2.040000000000001	0.0004903990858138377
1.903	1.3200000000000007	2.040000000000001	0.0005061029802584209
1.9040000000000001	1.3200000000000007	2.040000000000001	0.0005235504049619297
1.905	1.3200000000000007	2.040000000000001	0.0005427413599246242
1.9060000000000001	1.3200000000000007	2.040000000000001	0.0005636758451461922
1.907	1.3200000000000007	2.040000000000001	0.0005863538606269113
1.9080000000000001	1.3200000000000007	2.040000000000001	0.0006107754063663998
1.909	1.3200000000000007	2.040000000000001	0.000636940482365074
1.9100000000000001	1.3200000000000007	2.040000000000001	0.0006648490886226495
1.911	1.3200000000000007	2.040000000000001	0.0006945012251391783
1.9120000000000001	1.3200000000000007	2.040000000000001	0.000725896891914872
1.913	1.3400000000000007	2.040000000000001	-0.0043980135899097
1.9140000000000001	1.3400000000000007	2.040000000000001	-0.0044993138325569206
1.915	1.3400000000000007	2.040000000000001	-0.004598547528066814
1.9160000000000001	1.3400000000000007	2.040000000000001	-0.00469571467643979
1.917	1.3400000000000007	2.040000000000001	-0.004790815277675591
1.9180000000000001	1.3400000000000007	2.040000000000001	-0.004883849331774024
1.919	1.3400000000000007	2.040000000000001	-0.004974816838735567
1.92	1.3400000000000007	2.040000000000001	-0.005063717798559707
1.921	1.3400000000000007	2.040000000000001	-0.005150552211246995
1.922	1.3400000000000007	2.040000000000001	-0.005235320076796959
1.923	1.3400000000000007	2.040000000000001	-0.005318021395209836
1.924	1.3400000000000007	2.040000000000001	-0.005398656166485525
1.925	1.3400000000000007	2.040000000000001	-0.005477224390624164
1.926	1.3400000000000007	2.040000000000001	-0.005553726067625553
1.927	1.3400000000000007	2.040000000000001	-0.0056281611974897845
1.928	1.3400000000000007	2.040000000000001	-0.005700529780217029
1.929	1.3400000000000007	2.040000000000001	-0.0057708318158070475
1.93	1.3400000000000007	2.040000000000001	-0.00583906730425985
